Id;Nom_Fichier;Site_Web;Date_Creation;Date_Modification;Date_ingestion;Taille_Fichier
1;13564-INFO-SOC-GLASSDOOR-E4245_P1.html;GLASSDOOR;2023-02-27 19:30:27;2023-02-27 19:30:27;2023-02-27 19:36:16;228712 KO
2;13736-INFO-SOC-GLASSDOOR-E410527_P1.html;GLASSDOOR;2023-02-27 19:30:27;2023-02-27 19:30:27;2023-02-27 19:36:16;219147 KO
3;13725-INFO-SOC-GLASSDOOR-E10842_P1.html;GLASSDOOR;2023-02-27 19:30:27;2023-02-27 19:30:27;2023-02-27 19:36:16;227870 KO
4;13607-INFO-SOC-GLASSDOOR-E301204_P1.html;GLASSDOOR;2023-02-27 19:30:27;2023-02-27 19:30:27;2023-02-27 19:36:16;223697 KO
5;13705-INFO-SOC-GLASSDOOR-E2762239_P1.html;GLASSDOOR;2023-02-27 19:30:27;2023-02-27 19:30:27;2023-02-27 19:36:16;200089 KO
6;13629-INFO-SOC-GLASSDOOR-E474142_P1.html;GLASSDOOR;2023-02-27 19:30:27;2023-02-27 19:30:27;2023-02-27 19:36:16;200317 KO
7;13587-INFO-SOC-GLASSDOOR-E1838_P1.html;GLASSDOOR;2023-02-27 19:30:27;2023-02-27 19:30:27;2023-02-27 19:36:16;249152 KO
8;13803-INFO-SOC-GLASSDOOR-E20114_P1.html;GLASSDOOR;2023-02-27 19:30:27;2023-02-27 19:30:27;2023-02-27 19:36:16;495056 KO
9;13628-INFO-SOC-GLASSDOOR-E235643_P1.html;GLASSDOOR;2023-02-27 19:30:27;2023-02-27 19:30:27;2023-02-27 19:36:16;215591 KO
10;13553-INFO-SOC-GLASSDOOR-E5304_P1.html;GLASSDOOR;2023-02-27 19:30:27;2023-02-27 19:30:27;2023-02-27 19:36:16;227122 KO
11;13648-INFO-SOC-GLASSDOOR-E1137726_P1.html;GLASSDOOR;2023-02-27 19:30:27;2023-02-27 19:30:27;2023-02-27 19:36:16;208889 KO
12;13653-INFO-SOC-GLASSDOOR-E454220_P1.html;GLASSDOOR;2023-02-27 19:30:27;2023-02-27 19:30:27;2023-02-27 19:36:16;204028 KO
13;13724-INFO-SOC-GLASSDOOR-E1126011_P1.html;GLASSDOOR;2023-02-27 19:30:27;2023-02-27 19:30:27;2023-02-27 19:36:16;194022 KO
14;13692-INFO-SOC-GLASSDOOR-E929611_P1.html;GLASSDOOR;2023-02-27 19:30:27;2023-02-27 19:30:27;2023-02-27 19:36:16;213823 KO
15;13650-INFO-SOC-GLASSDOOR-E809243_P1.html;GLASSDOOR;2023-02-27 19:30:27;2023-02-27 19:30:27;2023-02-27 19:36:16;214297 KO
16;13603-INFO-SOC-GLASSDOOR-E5772_P1.html;GLASSDOOR;2023-02-27 19:30:27;2023-02-27 19:30:27;2023-02-27 19:36:16;224739 KO
17;13795-INFO-SOC-GLASSDOOR-E231247_P1.html;GLASSDOOR;2023-02-27 19:30:27;2023-02-27 19:30:27;2023-02-27 19:36:16;220036 KO
18;13586-INFO-SOC-GLASSDOOR-E649071_P1.html;GLASSDOOR;2023-02-27 19:30:27;2023-02-27 19:30:27;2023-02-27 19:36:16;207787 KO
19;13702-INFO-SOC-GLASSDOOR-E1159854_P1.html;GLASSDOOR;2023-02-27 19:30:27;2023-02-27 19:30:27;2023-02-27 19:36:16;214130 KO
20;13637-INFO-SOC-GLASSDOOR-E3133104_P1.html;GLASSDOOR;2023-02-27 19:30:27;2023-02-27 19:30:27;2023-02-27 19:36:16;189362 KO
21;13733-INFO-SOC-GLASSDOOR-E852040_P1.html;GLASSDOOR;2023-02-27 19:30:27;2023-02-27 19:30:27;2023-02-27 19:36:16;201876 KO
22;13780-INFO-SOC-GLASSDOOR-E35333_P1.html;GLASSDOOR;2023-02-27 19:30:27;2023-02-27 19:30:27;2023-02-27 19:36:16;213393 KO
23;13771-INFO-SOC-GLASSDOOR-E1125581_P1.html;GLASSDOOR;2023-02-27 19:30:27;2023-02-27 19:30:27;2023-02-27 19:36:16;200412 KO
24;13805-INFO-SOC-GLASSDOOR-E846722_P1.html;GLASSDOOR;2023-02-27 19:30:27;2023-02-27 19:30:27;2023-02-27 19:36:16;486570 KO
