File_ID,File_Path_Origin,File_Size,File_Date,File_Path_Destination,File_Destination_Size
1,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13574-AVIS-SOC-GLASSDOOR-E1130973_P2.html,648.4 KB,2023-04-07 14:29:46.475136,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13574-AVIS-SOC-GLASSDOOR-E1130973_P2.html,648.4 KB
2,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13779-AVIS-SOC-GLASSDOOR-E33451_P1.html,479.5 KB,2023-04-07 14:29:46.475901,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13779-AVIS-SOC-GLASSDOOR-E33451_P1.html,479.5 KB
3,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13700-AVIS-SOC-GLASSDOOR-E1127781_P2.html,619.6 KB,2023-04-07 14:29:46.476873,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13700-AVIS-SOC-GLASSDOOR-E1127781_P2.html,619.6 KB
4,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13658-INFO-EMP-LINKEDIN-FR-1582187354.html,139.0 KB,2023-04-07 14:29:46.477678,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13658-INFO-EMP-LINKEDIN-FR-1582187354.html,139.0 KB
5,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13558-INFO-SOC-GLASSDOOR-E6162_P1.html,237.3 KB,2023-04-07 14:29:46.478514,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13558-INFO-SOC-GLASSDOOR-E6162_P1.html,237.3 KB
6,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13691-AVIS-SOC-GLASSDOOR-E1130973_P2.html,690.5 KB,2023-04-07 14:29:46.479262,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13691-AVIS-SOC-GLASSDOOR-E1130973_P2.html,690.5 KB
7,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13761-AVIS-SOC-GLASSDOOR-E1366034_P2.html,583.3 KB,2023-04-07 14:29:46.479976,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13761-AVIS-SOC-GLASSDOOR-E1366034_P2.html,583.3 KB
8,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13577-INFO-EMP-LINKEDIN-FR-1646255443.html,304.1 KB,2023-04-07 14:29:46.480726,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13577-INFO-EMP-LINKEDIN-FR-1646255443.html,304.1 KB
9,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13643-AVIS-SOC-GLASSDOOR-E2411165_P1.html,227.4 KB,2023-04-07 14:29:46.481443,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13643-AVIS-SOC-GLASSDOOR-E2411165_P1.html,227.4 KB
10,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13748-INFO-EMP-LINKEDIN-FR-1647569045.html,40.5 KB,2023-04-07 14:29:46.482193,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13748-INFO-EMP-LINKEDIN-FR-1647569045.html,40.5 KB
